asofdate,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c75,c76,c77,c78,c79,c80,c81,c82,c83,c84,c85,c86,c87,c88
11-May-22,0.758288,0.646482,0.537465,0.430405,0.342125,0.26914,0.210038,0.20832,0.221928,0.236212,0.252212,0.617753,0.532529,0.445965,0.369586,0.313187,0.258779,0.210106,0.192246,0.196582,0.202145,0.209222,0.505691,0.439165,0.380807,0.330968,0.288427,0.2454,0.205121,0.180925,0.176666,0.177867,0.18103,0.449028,0.39429,0.346971,0.306841,0.270972,0.234745,0.201371,0.178674,0.170456,0.169707,0.170976,0.413152,0.36587,0.324977,0.290018,0.258062,0.226777,0.198632,0.178695,0.170713,0.169433,0.170174,0.38173,0.342125,0.307243,0.275795,0.246755,0.219993,0.19643,0.179588,0.172081,0.170683,0.171186,0.370915,0.33189,0.297209,0.26658,0.239123,0.214856,0.19367,0.177998,0.169311,0.165597,0.164791,0.363896,0.325192,0.290591,0.260484,0.234069,0.211447,0.191825,0.176915,0.167426,0.162147,0.160459
10-May-22,0.793518333,0.682798333,0.572685,0.46511,0.377385,0.29975,0.23379,0.226803333,0.242741667,0.260008333,0.276561667,0.635153261,0.549719565,0.466745652,0.394858696,0.336964674,0.280628261,0.228716304,0.205489674,0.207334783,0.213478261,0.220650543,0.521277174,0.457127174,0.401011957,0.350803261,0.306133696,0.261982609,0.220193478,0.193023913,0.184780435,0.18783913,0.192263043,0.461655618,0.409830899,0.364070225,0.322581461,0.284802809,0.247752247,0.213414607,0.189596629,0.177104494,0.177891573,0.181719663,0.424090217,0.379016304,0.339564674,0.302927717,0.269471739,0.237328261,0.208422826,0.186903261,0.175696739,0.1758,0.178466848,0.393025543,0.354140761,0.320461685,0.286919293,0.256379348,0.228520652,0.204257065,0.186308152,0.176291848,0.1758,0.17721712,0.380257143,0.341813187,0.307679121,0.275721978,0.247358242,0.222169231,0.200520879,0.184045055,0.173273626,0.169747253,0.16823956,0.371914286,0.333710989,0.299215934,0.268301648,0.241381868,0.217957692,0.198034066,0.182520879,0.171228022,0.165656044,0.162182967
09-May-22,0.80405,0.694133333,0.585811667,0.478145,0.38993,0.309543333,0.238406667,0.22918,0.246771667,0.264711667,0.281901667,0.641686957,0.557134239,0.473960326,0.401492391,0.34329837,0.285995109,0.232692391,0.205146196,0.208183152,0.216207609,0.223446196,0.52576413,0.461995652,0.405566304,0.355466304,0.310991304,0.266554348,0.224455435,0.193634783,0.184269565,0.188938043,0.194181522,0.466307303,0.414123596,0.367862921,0.326471348,0.288925843,0.251657303,0.217083708,0.190897191,0.177673596,0.179052809,0.183906742,0.428541304,0.383305435,0.343195109,0.306989674,0.273670109,0.241067935,0.211722826,0.189922283,0.17569837,0.175980978,0.180128804,0.395453261,0.356763587,0.322187772,0.290624185,0.260875272,0.232319837,0.207557065,0.189505707,0.175995924,0.175802446,0.178522011,0.383903297,0.345243956,0.310803297,0.279956044,0.251917582,0.226325275,0.204176923,0.187245055,0.174753846,0.171586813,0.172269231,0.376402747,0.337703297,0.303302747,0.272896703,0.245981319,0.222354396,0.201930769,0.185720879,0.173911538,0.168739011,0.168057692
06-May-22,0.778005,0.670113333,0.563973333,0.453735,0.361658333,0.27831,0.20988,0.216503333,0.239405,0.257155,0.273395,0.617140761,0.53629837,0.455659239,0.382305435,0.323549457,0.265641304,0.213567391,0.192941304,0.201278261,0.207569565,0.213241304,0.512463043,0.44928587,0.391275,0.34088913,0.296318478,0.251833696,0.210158696,0.182519565,0.177046739,0.180061957,0.184077174,0.454661236,0.402313483,0.355506742,0.313838202,0.276574719,0.239860112,0.205586517,0.181192135,0.170158427,0.171704494,0.175194382,0.418886957,0.373294022,0.332566304,0.295603804,0.263119022,0.231158152,0.202509783,0.185103804,0.175265217,0.174859239,0.176616848,0.388417391,0.348835054,0.313165761,0.280309511,0.252347554,0.22419538,0.200724457,0.191709511,0.185263043,0.182298098,0.18084212,0.37363956,0.335326374,0.301328571,0.270486813,0.245079121,0.219412088,0.198563736,0.19090989,0.184806593,0.180975824,0.178763736,0.363932967,0.326421978,0.293507143,0.263989011,0.240265934,0.216243407,0.19711978,0.190308242,0.184405495,0.180013187,0.17731978
05-May-22,0.762683333,0.654658333,0.548796667,0.443258333,0.352443333,0.265496667,0.205063333,0.22026,0.239063333,0.256616667,0.272645,0.606848913,0.526844022,0.44881087,0.37653913,0.316492391,0.256450543,0.205467391,0.18746413,0.192371196,0.199325,0.206826087,0.508593478,0.447697826,0.389133696,0.335815217,0.289627174,0.244218478,0.202743478,0.180347826,0.176716304,0.178797826,0.182213043,0.453081461,0.400623034,0.353313483,0.310558427,0.271346629,0.233596067,0.199640449,0.177622472,0.171114607,0.172160674,0.174106742,0.415931522,0.370030435,0.329213587,0.292138587,0.257822283,0.225058152,0.196413043,0.176217391,0.169376087,0.170295109,0.171757065,0.384628804,0.346226087,0.312133967,0.277796467,0.246455707,0.21809538,0.194032609,0.176693478,0.170090217,0.171187772,0.172292663,0.37067033,0.333497802,0.300447253,0.268283516,0.239475824,0.213964835,0.192753846,0.177293407,0.170515385,0.170131868,0.17051978,0.361525275,0.325114835,0.292706044,0.261986264,0.234863187,0.211237363,0.191911538,0.177694505,0.170796154,0.16940989,0.169316484
04-May-22,0.7471,0.63961,0.535306667,0.431941667,0.340453333,0.252808333,0.198618333,0.213575,0.232631667,0.249041667,0.264333333,0.598715217,0.518516304,0.440177717,0.368295652,0.307563043,0.247259239,0.197942935,0.185584239,0.190310326,0.196183152,0.203122283,0.499881522,0.436355435,0.379172826,0.328830435,0.283203261,0.237694565,0.197091304,0.1753,0.171758696,0.173030435,0.176083696,0.444117978,0.392085393,0.345711798,0.303933146,0.265636517,0.227903933,0.194153371,0.172940449,0.166242697,0.166788764,0.168729775,0.409683696,0.364544565,0.324470652,0.287133696,0.253038043,0.220611957,0.191927174,0.171934783,0.164295109,0.164436413,0.165939674,0.379809239,0.341811413,0.30792663,0.273684239,0.242445109,0.214779891,0.190617935,0.172886957,0.165187772,0.165091033,0.165999185,0.366582418,0.329513187,0.296781319,0.26453956,0.235772527,0.21113956,0.190006593,0.174264835,0.166861538,0.165871429,0.166,0.357918681,0.321410989,0.289401099,0.258482967,0.23136044,0.208732967,0.189605495,0.175187363,0.167984615,0.166392857,0.166
03-May-22,0.759805,0.651031667,0.544211667,0.438316667,0.346756667,0.254626667,0.199046667,0.213816667,0.23321,0.251061667,0.267016667,0.603969022,0.52172663,0.44190163,0.370734239,0.309839674,0.248711957,0.198671739,0.18429837,0.18893913,0.195107065,0.202384239,0.500567391,0.436713043,0.379926087,0.329311957,0.283798913,0.237866304,0.196901087,0.174423913,0.170153261,0.172086957,0.175716304,0.444087079,0.391826404,0.345529775,0.303792135,0.265618539,0.227585955,0.193594382,0.172235393,0.16526573,0.16629382,0.16899382,0.408648913,0.363451087,0.32445,0.286875,0.25289837,0.219934239,0.191049457,0.171355435,0.1635125,0.163776087,0.16580163,0.377822283,0.339527717,0.308025,0.2731875,0.242245924,0.213685598,0.189323641,0.172188587,0.16488125,0.164490217,0.165504076,0.364107692,0.326738462,0.296465934,0.263683516,0.235335165,0.209861538,0.188587912,0.173386813,0.166620879,0.165568132,0.165974725,0.355123077,0.318315385,0.288804945,0.257386264,0.230762637,0.207334615,0.188106593,0.174189011,0.167784066,0.16629011,0.166295604
29-Apr-22,0.735840323,0.633566129,0.533669355,0.432135484,0.33556129,0.239045161,0.190724194,0.210041935,0.23056129,0.246283871,0.261651613,0.596683152,0.516904348,0.438452174,0.366836413,0.304474457,0.241732065,0.192740217,0.183704348,0.191429348,0.195246196,0.202321739,0.490608696,0.429852174,0.375334783,0.325526087,0.27936087,0.232847826,0.192352174,0.17306087,0.168978261,0.169930435,0.173378261,0.440593889,0.387690556,0.341087222,0.300578333,0.261891111,0.223463333,0.189657222,0.170595556,0.164879444,0.165038889,0.167285,0.406638251,0.361062842,0.320670492,0.284185246,0.249679235,0.216470492,0.187602186,0.168638251,0.162638251,0.16275847,0.164199454,0.374745628,0.337607104,0.30397623,0.270363115,0.239148087,0.21072623,0.186405464,0.169595628,0.163595628,0.163596175,0.164498634,0.364176503,0.32701694,0.29341694,0.261365574,0.23260765,0.207185792,0.186161749,0.171029508,0.164969945,0.163540437,0.163606557,0.357195628,0.319996175,0.286396175,0.255381967,0.228259563,0.20483224,0.186002186,0.171986885,0.165887432,0.163500546,0.163008197
28-Apr-22,0.732693548,0.630509677,0.531754839,0.434756452,0.343406452,0.248496774,0.198812903,0.218758065,0.238662903,0.254448387,0.269795161,0.590854348,0.514089674,0.438213043,0.369236957,0.30787337,0.245550543,0.196218478,0.186143478,0.192691848,0.197269022,0.204345109,0.493204348,0.432673913,0.378121739,0.32863913,0.281765217,0.235391304,0.194708696,0.17486087,0.171804348,0.173443478,0.177486957,0.438797778,0.389564444,0.344793333,0.302870556,0.263753333,0.225406667,0.192019444,0.173465556,0.168706111,0.168768333,0.171201111,0.404071585,0.360901639,0.321991803,0.285425683,0.251419126,0.217971038,0.189762295,0.171959016,0.167238798,0.167059016,0.168359563,0.375828962,0.338104098,0.304579508,0.271364208,0.240947814,0.211927596,0.188505738,0.172497541,0.167896995,0.167597541,0.168598907,0.365395628,0.328172131,0.294553005,0.263437705,0.23482459,0.208862295,0.1885,0.173989071,0.16831694,0.166944809,0.166991803,0.358494536,0.321590164,0.287891257,0.258172131,0.230755738,0.206827869,0.1885,0.174986339,0.168596175,0.166506011,0.165914754
27-Apr-22,0.7529,0.645132258,0.540817742,0.440412903,0.356548387,0.26531129,0.209908065,0.234587097,0.253606452,0.27066129,0.285991935,0.594977717,0.517476087,0.442917935,0.375536957,0.314872283,0.251889674,0.201617935,0.189381522,0.196611957,0.201591848,0.208888587,0.500352174,0.440186957,0.385286957,0.334821739,0.288082609,0.241013043,0.199513043,0.175956522,0.175726087,0.17996087,0.184156522,0.445608889,0.396164444,0.351322778,0.309227222,0.269837222,0.230728333,0.196757222,0.175665,0.172862778,0.174041667,0.176368889,0.409912022,0.367342077,0.328853005,0.291467213,0.256700546,0.222931694,0.194422951,0.175539344,0.171718579,0.17155847,0.173079235,0.381430055,0.344305191,0.310782514,0.276568033,0.245451366,0.216529235,0.192807377,0.175898361,0.172496448,0.172396175,0.173498087,0.370042623,0.333002186,0.29938306,0.26726776,0.238550273,0.21292623,0.192085246,0.17715082,0.1725,0.170970492,0.170879235,0.362503279,0.325502732,0.291803825,0.261084699,0.233962842,0.210532787,0.191606557,0.177988525,0.1725,0.170013115,0.169124044
